,NaturalPersonID,ProductName,CreditSum,TypeOfWork,Employment,SignIP,sex,age,EducationStatus,otrasl_rabotodatelya,kolichestvo_rabotnikov_v_organizacii,OrgStanding_N,kolichestvo_detej_mladshe_18,LivingRegionName,Residence,IncomeDocumentKind,HaveSalaryCard,IsBankWorker,harakteristika_tekutschego_trudoustrojstva,ConfirmedMonthlyIncome (Target),month,day,year
0,1ABD801A-0580-4C4F-9682-E7E85A749981,1,500000.0,0,1,0,1,49,5,18,4,1.25,0,35,2,1,0,1,2,30691.36,10,16,2018
1,7B427911-9B96-443E-9EBA-76A02515E1BE,1,708000.0,0,2,0,1,44,3,1,1,20.0,0,15,1,1,1,0,2,25712.07,10,19,2018
2,4B867BD5-6398-4400-99CA-CF208714AF9A,1,665000.0,0,1,0,2,29,5,18,3,2.0,1,15,2,1,1,0,2,31081.26,11,2,2018
3,ED654BFA-A7E7-4280-84CA-D6EAE80E45E2,1,458000.0,0,1,0,1,59,6,13,2,23.0,0,12,1,0,1,0,2,17848.79,11,2,2018
4,CCA3FF37-D508-449E-869A-6ED4CB6F9943,1,969000.0,0,1,0,2,51,5,2,4,9.25,2,39,2,0,0,0,2,115380.53,10,15,2018
5,939468E5-ABD5-4130-A435-08A65EC0082B,2,35000.0,0,1,0,2,35,5,28,4,5.5,0,31,2,1,1,0,2,39578.97,11,13,2018
6,B252CDCB-DFC2-48BF-80B5-EDC024CAFDF3,1,701000.0,0,2,0,2,54,5,18,3,1.5,0,44,2,1,1,0,2,50052.42,10,25,2018
7,A767733A-9578-4DF5-96F5-D45A712327FC,1,710000.0,3,3,1,2,34,5,0,1,9.25,2,35,2,3,0,0,2,100050.0,11,12,2018
8,1BF342ED-F3DB-4F73-BBF0-F47EDFB93249,1,240000.0,0,1,0,2,26,3,18,4,3.916666,0,42,2,0,0,0,2,34000.58,11,12,2018
10,2A2823BE-5723-4963-8FBC-6A0DE3C1208A,1,700001.0,0,1,0,2,27,3,9,4,2.5,1,12,2,0,0,0,2,39166.1,11,15,2018
11,84177A93-CB0B-45BE-A6A0-ABB6DDD9E7AB,1,710000.0,0,1,0,2,42,2,23,1,0.916666,3,42,2,0,0,0,2,69600.0,11,12,2018
12,2DC0A71B-997F-4AD2-B5C9-DC92A7C01580,1,574940.19,0,1,0,1,33,5,28,4,1.75,1,15,1,1,1,0,2,57006.23,11,8,2018
13,F65CC9DE-032F-4379-94AA-918998BAAED3,1,277991.38,0,1,0,1,38,5,8,4,8.166666,2,13,2,0,0,0,2,41293.85,11,8,2018
14,F8731D87-188F-48CB-8710-66A4F3C69D5C,2,50000.0,0,1,0,2,28,3,21,2,2.833333,1,37,1,0,0,0,2,31417.0,11,13,2018
15,97389BF2-488B-4DBE-8F93-D20E53E67363,1,481391.27,0,1,0,2,57,3,24,3,5.0,0,15,1,1,1,0,2,42661.73,11,13,2018
16,F4C0406D-8B24-4B92-9CDD-0821CBCBFA03,1,500000.0,0,4,0,1,29,6,0,2,1.666666,0,15,1,0,0,0,2,23160.85,11,14,2018
17,E5F83F73-61F0-487C-831D-0F1052203CC6,1,172125.0,0,1,0,1,46,2,2,4,26.083333,0,25,1,1,1,0,2,41897.84,11,12,2018
